case,location,date,fatalities,injured
Welding shop shooting,"Miami, Florida",1982-08-20,8,3
Dallas nightclub shooting,"Dallas, Texas",1984-06-29,6,1
San Ysidro McDonald's massacre,"San Ysidro, California",1984-07-18,22,19
United States Postal Service shooting,"Edmond, Oklahoma",1986-08-20,15,6
Shopping centers spree killings,"Palm Bay, Florida",1987-04-23,6,14
ESL shooting,"Sunnyvale, California",1988-02-16,7,4
Stockton schoolyard shooting,"Stockton, California",1989-01-17,6,29
Standard Gravure shooting,"Louisville, Kentucky",1989-09-14,9,12
GMAC massacre,"Jacksonville, Florida",1990-06-18,10,4
Luby's massacre,"Killeen, Texas",1991-10-16,24,20
University of Iowa shooting,"Iowa City, Iowa",1991-11-01,6,1
Royal Oak postal shootings,"Royal Oak, Michigan",1991-11-14,5,5
Lindhurst High School shooting,"Olivehurst, California",1992-05-01,4,10
Watkins Glen killings,"Watkins Glen, New York",1992-10-15,5,0
101 California Street shootings,"San Francisco, California",1993-07-01,9,6
Luigi's shooting,"Fayetteville, North Carolina",1993-08-06,4,8
Long Island Rail Road massacre,"Garden City, New York",1993-12-07,6,19
Chuck E. Cheese's killings,"Aurora, Colorado",1993-12-14,4,1
Air Force base shooting,"Fairchild Air Force Base, Washington",1994-06-20,5,23
Walter Rossler Company massacre,"Corpus Christi, Texas",1995-04-03,6,0
Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",1996-02-09,6,1
R.E. Phelon Company shooting,"Aiken, South Carolina",1997-09-15,4,3
Caltrans maintenance yard shooting,"Orange, California",1997-12-18,5,2
Connecticut Lottery shooting,"Newington, Connecticut",1998-03-06,5,1
Westside Middle School killings,"Jonesboro, Arkansas",1998-03-24,5,10
Thurston High School shooting,"Springfield, Oregon",1998-05-21,4,25
Columbine High School massacre,"Littleton, Colorado",1999-04-20,13,24
Atlanta day trading spree killings,"Atlanta, Georgia",1999-07-29,9,13
Wedgwood Baptist Church shooting,"Fort Worth, Texas",1999-09-15,8,7
Xerox killings,"Honolulu, Hawaii",1999-11-02,7,0
Hotel shooting,"Tampa, Florida",1999-12-30,5,3
Wakefield massacre,"Wakefield, Massachusetts",2000-12-26,7,0
Navistar shooting,"Melrose Park, Illinois",2001-02-05,5,4
Lockheed Martin shooting,"Meridian, Mississippi",2003-07-08,7,8
Damageplan show shooting,"Columbus, Ohio",2004-12-08,5,7
Living Church of God shooting,"Brookfield, Wisconsin",2005-03-12,7,4
Red Lake massacre,"Red Lake, Minnesota",2005-03-21,10,5
Goleta postal shootings,"Goleta, California",2006-01-30,8,0
Capitol Hill massacre,"Seattle, Washington",2006-03-25,7,2
Amish school shooting,"Lancaster County, Pennsylvania",2006-10-02,6,5
Trolley Square shooting,"Salt Lake City, Utah",2007-02-12,6,4
Virginia Tech massacre,"Blacksburg, Virginia",2007-04-16,32,23
Crandon shooting,"Crandon, Wisconsin",2007-10-07,6,1
Westroads Mall shooting,"Omaha, Nebraska",2007-12-05,9,4
Kirkwood City Council shooting,"Kirkwood, Missouri",2008-02-07,6,2
Northern Illinois University shooting,"DeKalb, Illinois",2008-02-14,5,21
Atlantis Plastics shooting,"Henderson, Kentucky",2008-06-25,6,1
Carthage nursing home shooting,"Carthage, North Carolina",2009-03-29,8,3
